term_swe,term_eng,context
feber,fever,
blodtryck,blood pressure,
hjärtinfarkt,myocardial infarction,
smärta,pain,
huvudvärk,headache,
andnöd,shortness of breath,
illamående,nausea,
yrsel,dizziness,
trötthet,fatigue,
hosta,cough,
diarré,diarrhea,
förstoppning,constipation,
sömnlöshet,insomnia,
aptitlöshet,loss of appetite,
svettningar,sweating,
frossa,chills,
muskelvärk,muscle pain,
ledvärk,joint pain,
halsont,sore throat,
nästäppa,nasal congestion,
ögoninflammation,eye inflammation,
hudutslag,rash,
feberkramper,febrile seizures,
blödning,bleeding,
svullnad,swelling,
kräkningar,vomiting,
buksmärta,abdominal pain,
ryggsmärta,back pain,
bröstsmärta,chest pain,
törst,thirst,
viktminskning,weight loss,
viktuppgång,weight gain,
hjärtklappning,palpitations,
svimning,fainting,
ont i örat,earache,
tinnitus,ringing in the ears,
nedsatt hörsel,hearing loss,
synförlust,vision loss,
nedsatt känsel,numbness,
stickningar,tingling,
skakningar,tremors,
förvirring,confusion,
ångest,anxiety,
depression,depression,
irritation,irritation,
koncentrationssvårigheter,difficulty concentrating,
minnesproblem,memory problems,
febrighet,feverishness,
kalla händer,cold hands,
MI,myocardial infarction,Patient med MI och bröstsmärta
MI,mitral insufficiency,Patient med MI och hjärtflimmer
BP,bipolar disorder,Patient med BP och humörsvängningar
BP,blood pressure,Patient med högt BP och huvudvärk
EKG,eczema,Patient med EKG och hudutslag
EKG,electrocardiogram,Patient med onormal EKG och hjärtklappning
CRP,C-reactive protein,Patient med högt CRP och feber
CRP,chronic regional pain,Patient med CRP och ledvärk
HR,heart rate,Patient med hög HR och andnöd
PM,past medical history,Patient med PM av diabetes
PM,postmortem,Patient undersökt PM efter dödsfall
CT,computed tomography,Patient med CT av hjärnan
AV,atrioventricular,Patient med AV-block och svimning
NS,normal saline,Patient behandlad med NS intravenöst
AF,atrial fibrillation,Patient med AF och oregelbunden puls
PE,pulmonary embolism,Patient med PE och andnöd
PE,physical examination,Patient med normal PE och trötthet
PR,pulse rate,Patient med hög PR och feber
DM,diabetes mellitus,Patient med DM och törst
DM,dermatomyositis,Patient med DM och muskelvärk
CA,cancer,Patient med CA och viktminskning
CA,cardiac arrest,Patient med CA och svimning
EEG,electroencephalogram,Patient med EEG och förvirring
COPD,chronic obstructive pulmonary disease,Patient med COPD och långvarig hosta
TIA,transient ischemic attack,Patient med TIA och tillfällig synförlust
DVT,deep vein thrombosis,Patient med DVT i vänster ben
ALS,amyotrophic lateral sclerosis,Patient med ALS och muskelsvaghet
IBS,irritable bowel syndrome,Patient med IBS och buksmärtor
CNS,central nervous system,Skada på CNS efter olycka
BPV,benign paroxysmal vertigo,Patient med BPV och yrsel
UTI,urinary tract infection,Patient med UTI och sveda vid miktion
hjärtinfrakt,myocardial infarction,
blodtryk,blood pressure,
febber,fever,
smäta,pain,
huvudvärkk,headache,
andnödd,shortness of breath,
ilamående,nausea,
yrssel,dizziness,
trötthhet,fatigue,
håsta,cough,
diaré,diarrhea,
förstopning,constipation,
sömnloshet,insomnia,
aptitloshet,loss of appetite,
svetningar,sweating,
frozza,chills,
muskelvräk,muscle pain,
ledvräk,joint pain,
vårdcentral,primary care center,
akutmottagning,emergency department,
