term_swe,term_eng,Claude_Term,response_time_sec
feber,Fever,Fever,"1,24"
blodtryck,Blood pressure,Blood pressure,"1,03"
hjärtinfarkt,Myocardial infarction,Myocardial infarction,"1,17"
smärta,Pain,Pain,"0,98"
huvudvärk,Headache,Headache,"0,94"
andnöd,Shortness of breath,Dyspnea,"1,11"
illamående,Nausea,Nausea,"1,05"
yrsel,Dizziness,Vertigo,"1,07"
trötthet,Fatigue,Fatigue,"1,27"
hosta,Cough,Cough,"1,92"
diarré,Diarrhea,Diarrhea,"1,26"
förstoppning,Constipation,Constipation,"1,03"
sömnlöshet,Insomnia,Insomnia,"2,46"
aptitlöshet,Loss of appetite,Anorexia,"1,45"
svettningar,Sweating,Sweating,"0,97"
frossa,Chills,Malaria,"0,97"
muskelvärk,Muscle pain,Myalgia,"1,15"
ledvärk,Joint pain,Joint pain,"0,96"
halsont,Sore throat,Sore throat,"1,04"
nästäppa,Nasal congestion,Nasal congestion,"1,18"
ögoninflammation,Eye inflammation,Conjunctivitis,"1,04"
hudutslag,Rash,Rash,"1,07"
feberkramper,Febrile seizures,Febrile seizures,"1,09"
blödning,Bleeding,Hemorrhage.,"1,15"
svullnad,Swelling,Swelling,"0,99"
kräkningar,Vomiting,Vomiting,"1,11"
buksmärta,Abdominal pain,Abdominal pain,"1,06"
ryggsmärta,Back pain,Back pain,"1,2"
bröstsmärta,Chest pain,Chest pain,"1,17"
törst,Thirst,Thirst,"1,04"
viktminskning,Weight loss,Weight loss,"0,99"
viktuppgång,Weight gain,Weight gain,"0,96"
hjärtklappning,Palpitations,Palpitations,"1,25"
svimning,Fainting,Syncope,"1,14"
ont i örat,Earache,Ear pain,"1,12"
tinnitus,Ringing in the ears,Tinnitus,"1,1"
nedsatt hörsel,Hearing loss,Hearing impairment,"1,05"
synförlust,Vision loss,Vision loss,"1,07"
nedsatt känsel,Numbness,Hypoesthesia,"1,13"
stickningar,Tingling,Pins and needles,"1,38"
skakningar,Tremors,Tremors,"0,99"
förvirring,Confusion,Confusion,"1,11"
ångest,Anxiety,Anxiety,"1,22"
depression,Depression,Depression,"2,23"
irritation,Irritation,Irritation,1
koncentrationssvårigheter,Difficulty concentrating,Concentration difficulties,"0,95"
minnesproblem,Memory problems,Memory problems,"1,2"
febrig,Febrile,Feverish,"1,14"
kalla händer,Cold hands,Cold hands,"1,04"
MI,Myocardial infarction,Myocardial infarction,"1,46"
MI,Mitral insufficiency,Myocardial infarction,"1,67"
BP,Bipolar disorder,Bipolar disorder,"1,41"
BP,Blood pressure,Blood pressure,"1,62"
EKG,Eczema,ECG (electrocardiogram),"1,88"
EKG,Electrocardiogram,Electrocardiogram,"1,37"
CRP,C-reactive protein,C-reactive protein,"1,53"
CRP,Chronic regional pain,C-reactive protein,"1,55"
HR,Heart rate,Heart rate,"1,29"
PM,Past medical history,Pacemaker,"1,34"
PM,Postmortem,Postmortem,"1,44"
CT,Computed tomography,Computed tomography,"1,73"
AV,Atrioventricular,Atrioventricular block,"1,66"
NS,Normal saline,Normal saline,"3,14"
AF,Atrial fibrillation,Atrial fibrillation,"2,07"
PE,Pulmonary embolism,Pulmonary embolism,"1,42"
PE,Physical examination,Pulmonary embolism,"2,88"
PR,Pulse rate,Pulse rate,"2,17"
DM,Diabetes mellitus,Diabetes mellitus,"3,16"
DM,Dermatomyositis,Diabetes mellitus,"1,42"
CA,Cancer,Cancer,"1,37"
CA,Cardiac arrest,Cardiac arrest,"1,4"
EEG,Electroencephalogram,Electroencephalogram,"1,48"
COPD,Chronic obstructive pulmonary disease,Chronic Obstructive Pulmonary Disease,"1,81"
TIA,Transient ischemic attack,Transient ischemic attack,"1,67"
DVT,Deep vein thrombosis,Deep vein thrombosis,"1,53"
ALS,Amyotrophic lateral sclerosis,Amyotrophic lateral sclerosis,"1,56"
IBS,Irritable bowel syndrome,Irritable bowel syndrome,"1,46"
CNS,Central nervous system,Central nervous system,"1,49"
BPV,Benign paroxysmal vertigo,Benign Paroxysmal Vertigo,"1,66"
UTI,Urinary tract infection,Urinary tract infection,"1,44"
hjärtinfrakt,Myocardial infarction,Myocardial infarction,"1,15"
blodtryk,Blood pressure,Blood pressure,"1,05"
febber,Fever,Fever,"1,28"
smäta,Pain,Pain,"2,1"
huvudvärkk,Headache,Headache,"1,36"
andnödd,Shortness of breath,Shortness of breath,"1,16"
ilamående,Nausea,Nausea,"1,17"
yrssel,Dizziness,Vertigo,"0,95"
trötthhet,Fatigue,Fatigue,"0,96"
håsta,Cough,Cough,"0,9"
diaré,Diarrhea,Diarrhea,"2,48"
förstopning,Constipation,Constipation,"1,09"
sömnloshet,Insomnia,Insomnia,"2,55"
aptitloshet,Loss of appetite,Loss of appetite,"1,73"
svetningar,Sweating,Sweating,"1,44"
frozza,Chills,Frenulum,"1,52"
muskelvräk,Muscle pain,Muscle pain,"1,24"
ledvräk,Joint pain,Joint pain,"2,27"
vårdcentral,Primary care center,Health center,"2,23"
akutmottagning,Emergency department,Emergency department,"2,97"
