term_swe,term_eng,DeepSeek_Term,ResponseTime_sec
feber,Fever,Fever,"5,06"
blodtryck,Blood pressure,Blood pressure,"5,70"
hjärtinfarkt,Myocardial infarction,Myocardial infarction,"4,14"
smärta,Pain,Pain,"3,77"
huvudvärk,Headache,Headache,"4,65"
andnöd,Shortness of breath,Dyspnea,"3,95"
illamående,Nausea,Nausea,"4,65"
yrsel,Dizziness,Dizziness,"4,71"
trötthet,Fatigue,Fatigue,"3,80"
hosta,Cough,Cough,"4,11"
diarré,Diarrhea,Diarrhea,"3,99"
förstoppning,Constipation,Constipation,"5,30"
sömnlöshet,Insomnia,Insomnia,"5,46"
aptitlöshet,Loss of appetite,Anorexia,"7,60"
svettningar,Sweating,Diaphoresis,"11,53"
frossa,Chills,Chills,"12,16"
muskelvärk,Muscle pain,Myalgia,"10,85"
ledvärk,Joint pain,Arthralgia,"7,19"
halsont,Sore throat,Sore throat,"11,70"
nästäppa,Nasal congestion,Nasal congestion,"7,84"
ögoninflammation,Eye inflammation,Conjunctivitis,"10,44"
hudutslag,Rash,Rash,"12,87"
feberkramper,Febrile seizures,Febrile seizures,"3,83"
blödning,Bleeding,Hemorrhage,"4,95"
svullnad,Swelling,Edema,"7,17"
kräkningar,Vomiting,Vomiting,"6,20"
buksmärta,Abdominal pain,Abdominal pain,"5,03"
ryggsmärta,Back pain,Back pain,"3,55"
bröstsmärta,Chest pain,Chest pain,"4,49"
törst,Thirst,Thirst,"4,89"
viktminskning,Weight loss,Weight loss,"3,82"
viktuppgång,Weight gain,Weight gain,"3,93"
hjärtklappning,Palpitations,Palpitation,"3,91"
svimning,Fainting,Syncope,"3,86"
ont i örat,Earache,Earache,"4,11"
tinnitus,Ringing in the ears,Ringing in the ears,"5,22"
nedsatt hörsel,Hearing loss,Hearing loss,"3,79"
synförlust,Vision loss,Vision loss,"3,83"
nedsatt känsel,Numbness,Hypoesthesia,"5,00"
stickningar,Tingling,Paresthesia,"4,01"
skakningar,Tremors,Tremors,"4,85"
förvirring,Confusion,Confusion,"3,67"
ångest,Anxiety,Anxiety,"3,89"
depression,Depression,Depression,"4,63"
irritation,Irritation,Irritation,"3,73"
koncentrationssvårigheter,Difficulty concentrating,Concentration difficulties,"4,82"
minnesproblem,Memory problems,Memory problems,"4,76"
febrig,Febrile,Febrile,"4,62"
kalla händer,Cold hands,Raynaud's phenomenon,"3,74"
MI,Myocardial infarction,Myocardial infarction,"4,39"
MI,Mitral insufficiency,Myocardial infarction,"3,87"
BP,Bipolar disorder,Blood pressure,"3,54"
BP,Blood pressure,Hypertension,"5,48"
EKG,Eczema,EKG - electrocardiogram,"4,29"
EKG,Electrocardiogram,Electrocardiogram,"4,74"
CRP,C-reactive protein,C-reactive protein,"5,09"
CRP,Chronic regional pain,C-reactive protein,"5,88"
HR,Heart rate,Tachycardia,"6,50"
PM,Past medical history,Diabetes mellitus,"4,18"
PM,Postmortem,Postmortem,"5,94"
CT,Computed tomography,Computed tomography,"8,78"
AV,Atrioventricular,Atrioventricular block,"4,68"
NS,Normal saline,Normal saline,"5,42"
AF,Atrial fibrillation,Atrial fibrillation,"8,35"
PE,Pulmonary embolism,Pulmonary embolism,"6,80"
PE,Physical examination,Physical examination,"10,85"
PR,Pulse rate,Pulse rate,"5,86"
DM,Diabetes mellitus,Diabetes mellitus,"11,98"
DM,Dermatomyositis,Diabetes mellitus,"13,51"
CA,Cancer,Carcinoma,"5,33"
CA,Cardiac arrest,Carcinoma,"9,90"
EEG,Electroencephalogram,Electroencephalogram,"10,98"
COPD,Chronic obstructive pulmonary disease,Chronic obstructive pulmonary disease,"4,86"
TIA,Transient ischemic attack,Transient Ischemic Attack,"4,28"
DVT,Deep vein thrombosis,Deep vein thrombosis,"4,68"
ALS,Amyotrophic lateral sclerosis,Amyotrophic lateral sclerosis,"4,21"
IBS,Irritable bowel syndrome,Irritable bowel syndrome,"5,07"
CNS,Central nervous system,Central nervous system,"4,83"
BPV,Benign paroxysmal vertigo,Benign paroxysmal positional vertigo,"4,43"
UTI,Urinary tract infection,Dysuria,"4,97"
hjärtinfrakt,Myocardial infarction,Myocardial infarction,"3,68"
blodtryk,Blood pressure,Blood pressure,"3,83"
febber,Fever,Fever,"4,38"
smäta,Pain,Pain,"4,00"
huvudvärkk,Headache,Headache,"4,20"
andnödd,Shortness of breath,Dyspneic,"6,24"
ilamående,Nausea,Nausea,"8,16"
yrssel,Dizziness,Vertigo,"5,23"
trötthhet,Fatigue,Fatigue,"4,13"
håsta,Cough,Cough,"3,76"
diaré,Diarrhea,Diarrhea,"3,86"
förstopning,Constipation,Constipation,"4,32"
sömnloshet,Insomnia,Insomnia,"4,23"
aptitloshet,Loss of appetite,Loss of appetite,"5,23"
svetningar,Sweating,Sweating,"3,92"
frozza,Chills,Fibrinogen,"3,95"
muskelvräk,Muscle pain,Myasthenia,"4,50"
ledvräk,Joint pain,Joint effusion,"4,82"
vårdcentral,Primary care center,Health center,"4,73"
akutmottagning,Emergency department,Emergency department,"3,91"
