term_swe,term_eng,Gemini_Term,ResponseTime_sec
feber,Fever,Fever,"21,32"
blodtryck,Blood pressure,Blood pressure,"10,66"
hjärtinfarkt,Myocardial infarction,myocardial infarction,"7,11"
smärta,Pain,Pain,"5,33"
huvudvärk,Headache,Headache,"4,26"
andnöd,Shortness of breath,Dyspnea,"3,55"
illamående,Nausea,Nausea,"3,05"
yrsel,Dizziness,Dizziness,"2,66"
trötthet,Fatigue,Fatigue,"2,37"
hosta,Cough,Cough,"2,13"
diarré,Diarrhea,Diarrhea,"1,94"
förstoppning,Constipation,Constipation,"1,78"
sömnlöshet,Insomnia,Insomnia,"1,64"
aptitlöshet,Loss of appetite,Anorexia,"1,52"
svettningar,Sweating,Night sweats,"1,42"
frossa,Chills,Chills,"20,83"
muskelvärk,Muscle pain,Myalgia,"10,42"
ledvärk,Joint pain,Joint Pain,"6,94"
halsont,Sore throat,Sore throat,"5,21"
nästäppa,Nasal congestion,Nasal Congestion,"4,17"
ögoninflammation,Eye inflammation,Conjunctivitis,"3,47"
hudutslag,Rash,Skin rash,"2,98"
feberkramper,Febrile seizures,Febrile Seizures,"2,60"
blödning,Bleeding,Hemorrhage,"2,31"
svullnad,Swelling,Edema,"2,08"
kräkningar,Vomiting,Vomiting,"1,89"
buksmärta,Abdominal pain,Abdominal pain,"1,74"
ryggsmärta,Back pain,Back pain,"1,60"
bröstsmärta,Chest pain,Chest pain,"1,49"
törst,Thirst,Thirst,"1,39"
viktminskning,Weight loss,Weight loss,"21,66"
viktuppgång,Weight gain,Weight gain,"10,83"
hjärtklappning,Palpitations,Palpitations,"7,22"
svimning,Fainting,Syncope,"5,42"
ont i örat,Earache,Earache,"4,33"
tinnitus,Ringing in the ears,Tinnitus,"3,61"
nedsatt hörsel,Hearing loss,Hearing loss,"3,09"
synförlust,Vision loss,Vision loss,"2,71"
nedsatt känsel,Numbness,Reduced sensation,"2,41"
stickningar,Tingling,Paraesthesias,"2,17"
skakningar,Tremors,Tremors,"1,97"
förvirring,Confusion,Confusion,"1,81"
ångest,Anxiety,Anxiety,"1,67"
depression,Depression,Depression,"1,55"
irritation,Irritation,Irritation,"1,44"
koncentrationssvårigheter,Difficulty concentrating,Difficulty concentrating,"22,20"
minnesproblem,Memory problems,Memory problems,"11,10"
febrig,Febrile,Feverish,"7,40"
kalla händer,Cold hands,Cold hands,"5,55"
MI,Myocardial infarction,Myocardial infarction,"4,44"
MI,Mitral insufficiency,High blood pressure,"3,70"
BP,Bipolar disorder,EKG Electrocardiogram,"3,17"
BP,Blood pressure,C-reactive protein,"2,78"
EKG,Eczema,Heart rate,"2,47"
EKG,Electrocardiogram,Diabetes mellitus,"2,22"
CRP,C-reactive protein,Computed tomography,"2,02"
CRP,Chronic regional pain,Atrioventricular block,"1,85"
HR,Heart rate,Normal saline,"1,71"
PM,Past medical history,Atrial fibrillation,"1,59"
PM,Postmortem,Pulmonary embolism,"1,48"
CT,Computed tomography,Computed tomography,"24,89"
AV,Atrioventricular,Atrioventricular block,"12,44"
NS,Normal saline,Intravenous,"8,30"
AF,Atrial fibrillation,Atrial fibrillation,"6,22"
PE,Pulmonary embolism,Pulmonary Embolism,"4,98"
PE,Physical examination,Physical examination,"4,15"
PR,Pulse rate,Procalcitonin,"3,56"
DM,Diabetes mellitus,Diabetes Mellitus,"3,11"
DM,Dermatomyositis,Diabetes Mellitus,"2,77"
CA,Cancer,Cancer,"2,49"
CA,Cardiac arrest,Cancer,"2,26"
EEG,Electroencephalogram,Electroencephalogram,"2,07"
COPD,Chronic obstructive pulmonary disease,Chronic Obstructive Pulmonary Disease,"1,91"
TIA,Transient ischemic attack,Transient ischemic attack,"1,78"
DVT,Deep vein thrombosis,Deep vein thrombosis,"1,66"
ALS,Amyotrophic lateral sclerosis,Amyotrophic Lateral Sclerosis,"12,49"
IBS,Irritable bowel syndrome,Irritable Bowel Syndrome,"6,25"
CNS,Central nervous system,Central Nervous System,"4,16"
BPV,Benign paroxysmal vertigo,Benign paroxysmal vertigo,"3,12"
UTI,Urinary tract infection,Urinary tract infection,"2,50"
hjärtinfrakt,Myocardial infarction,Myocardial Infarction,"2,08"
blodtryk,Blood pressure,Blood pressure,"1,78"
febber,Fever,Fever,"1,56"
smäta,Pain,Smear,"21,84"
huvudvärkk,Headache,Headache,"10,92"
andnödd,Shortness of breath,Emergency,"7,28"
ilamående,Nausea,Nausea,"5,46"
yrssel,Dizziness,Dizziness,"4,37"
trötthhet,Fatigue,Fatigue,"3,64"
håsta,Cough,Coughing,"3,12"
diaré,Diarrhea,Diarrhea,"2,73"
förstopning,Constipation,Constipation,"2,43"
sömnloshet,Insomnia,Insomnia,"2,18"
aptitloshet,Loss of appetite,Anorexia,"1,99"
svetningar,Sweating,Diaphoresis,"1,82"
frozza,Chills,Frostbite,"1,68"
muskelvräk,Muscle pain,Muscle pain,"1,56"
ledvräk,Joint pain,Joint pain,"1,46"
vårdcentral,Primary care center,Primary care center,"3,07"
akutmottagning,Emergency department,Emergency department,"1,54"
