term_swe,term_eng,GPT4o_Term,ResponseTime_GPT4O,DeepSeek_Term,ResponseTime_deepseek,Gemini_term,ResponseTime_gemini,Claude_term,Response_time_claude
feber,Fever,Fever,"1,79",Fever,"5,06",Fever,"21,32",Fever,"1,24"
blodtryck,Blood pressure,Blood pressure,"0,31",Blood pressure,"5,70",Blood pressure,"10,66",Blood pressure,"1,03"
hjärtinfarkt,Myocardial infarction,Myocardial infarction,"1,09",Myocardial infarction,"4,14",myocardial infarction,"7,11",Myocardial infarction,"1,17"
smärta,Pain,Pain,"0,24",Pain,"3,77",Pain,"5,33",Pain,"0,98"
huvudvärk,Headache,Headache,"0,48",Headache,"4,65",Headache,"4,26",Headache,"0,94"
andnöd,Shortness of breath,Shortness of breath,"0,33",Dyspnea,"3,95",Dyspnea,"3,55",Dyspnea,"1,11"
illamående,Nausea,Nausea,"0,30",Nausea,"4,65",Nausea,"3,05",Nausea,"1,05"
yrsel,Dizziness,Dizziness,"0,26",Dizziness,"4,71",Dizziness,"2,66",Vertigo,"1,07"
trötthet,Fatigue,Fatigue,"0,58",Fatigue,"3,80",Fatigue,"2,37",Fatigue,"1,27"
hosta,Cough,Cough,"0,52",Cough,"4,11",Cough,"2,13",Cough,"1,92"
diarré,Diarrhea,Diarrhea,"0,42",Diarrhea,"3,99",Diarrhea,"1,94",Diarrhea,"1,26"
förstoppning,Constipation,Constipation,"0,30",Constipation,"5,30",Constipation,"1,78",Constipation,"1,03"
sömnlöshet,Insomnia,Insomnia,"0,25",Insomnia,"5,46",Insomnia,"1,64",Insomnia,"2,46"
aptitlöshet,Loss of appetite,Loss of appetite,"0,55",Anorexia,"7,60",Anorexia,"1,52",Anorexia,"1,45"
svettningar,Sweating,Sweating,"0,33",Diaphoresis,"11,53",Night sweats,"1,42",Sweating,"0,97"
frossa,Chills,Chills,"0,23",Chills,"12,16",Chills,"20,83",Malaria,"0,97"
muskelvärk,Muscle pain,Muscle pain,"0,40",Myalgia,"10,85",Myalgia,"10,42",Myalgia,"1,15"
ledvärk,Joint pain,Joint pain,"0,29",Arthralgia,"7,19",Joint Pain,"6,94",Joint pain,"0,96"
halsont,Sore throat,Sore throat,"0,35",Sore throat,"11,70",Sore throat,"5,21",Sore throat,"1,04"
nästäppa,Nasal congestion,Nasal congestion,"0,37",Nasal congestion,"7,84",Nasal Congestion,"4,17",Nasal congestion,"1,18"
ögoninflammation,Eye inflammation,Conjunctivitis,"0,27",Conjunctivitis,"10,44",Conjunctivitis,"3,47",Conjunctivitis,"1,04"
hudutslag,Rash,Rash,"0,26",Rash,"12,87",Skin rash,"2,98",Rash,"1,07"
feberkramper,Febrile seizures,Febrile seizures,"0,47",Febrile seizures,"3,83",Febrile Seizures,"2,60",Febrile seizures,"1,09"
blödning,Bleeding,Bleeding,"0,37",Hemorrhage,"4,95",Hemorrhage,"2,31",Hemorrhage.,"1,15"
svullnad,Swelling,Swelling,"0,48",Edema,"7,17",Edema,"2,08",Swelling,"0,99"
kräkningar,Vomiting,Vomiting,"0,46",Vomiting,"6,20",Vomiting,"1,89",Vomiting,"1,11"
buksmärta,Abdominal pain,Abdominal pain,"0,33",Abdominal pain,"5,03",Abdominal pain,"1,74",Abdominal pain,"1,06"
ryggsmärta,Back pain,Back pain,"0,33",Back pain,"3,55",Back pain,"1,60",Back pain,"1,2"
bröstsmärta,Chest pain,Chest pain,"0,61",Chest pain,"4,49",Chest pain,"1,49",Chest pain,"1,17"
törst,Thirst,Thirst,"0,31",Thirst,"4,89",Thirst,"1,39",Thirst,"1,04"
viktminskning,Weight loss,Weight loss,"0,44",Weight loss,"3,82",Weight loss,"21,66",Weight loss,"0,99"
viktuppgång,Weight gain,Weight gain,"0,25",Weight gain,"3,93",Weight gain,"10,83",Weight gain,"0,96"
hjärtklappning,Palpitations,Palpitations,"0,30",Palpitation,"3,91",Palpitations,"7,22",Palpitations,"1,25"
svimning,Fainting,Fainting,"0,60",Syncope,"3,86",Syncope,"5,42",Syncope,"1,14"
ont i örat,Earache,Earache,"0,53",Earache,"4,11",Earache,"4,33",Ear pain,"1,12"
tinnitus,Ringing in the ears,Tinnitus,"0,28",Ringing in the ears,"5,22",Tinnitus,"3,61",Tinnitus,"1,1"
