term_swe,term_eng,GPT4o_Term,ResponseTime_sec
feber,Fever,Fever,"1,79"
blodtryck,Blood pressure,Blood pressure,"0,31"
hjärtinfarkt,Myocardial infarction,Myocardial infarction,"1,09"
smärta,Pain,Pain,"0,24"
huvudvärk,Headache,Headache,"0,48"
andnöd,Shortness of breath,Shortness of breath,"0,33"
illamående,Nausea,Nausea,"0,30"
yrsel,Dizziness,Dizziness,"0,26"
trötthet,Fatigue,Fatigue,"0,58"
hosta,Cough,Cough,"0,52"
diarré,Diarrhea,Diarrhea,"0,42"
förstoppning,Constipation,Constipation,"0,30"
sömnlöshet,Insomnia,Insomnia,"0,25"
aptitlöshet,Loss of appetite,Loss of appetite,"0,55"
svettningar,Sweating,Sweating,"0,33"
frossa,Chills,Chills,"0,23"
muskelvärk,Muscle pain,Muscle pain,"0,40"
ledvärk,Joint pain,Joint pain,"0,29"
halsont,Sore throat,Sore throat,"0,35"
nästäppa,Nasal congestion,Nasal congestion,"0,37"
ögoninflammation,Eye inflammation,Conjunctivitis,"0,27"
hudutslag,Rash,Rash,"0,26"
feberkramper,Febrile seizures,Febrile seizures,"0,47"
blödning,Bleeding,Bleeding,"0,37"
svullnad,Swelling,Swelling,"0,48"
kräkningar,Vomiting,Vomiting,"0,46"
buksmärta,Abdominal pain,Abdominal pain,"0,33"
ryggsmärta,Back pain,Back pain,"0,33"
bröstsmärta,Chest pain,Chest pain,"0,61"
törst,Thirst,Thirst,"0,31"
viktminskning,Weight loss,Weight loss,"0,44"
viktuppgång,Weight gain,Weight gain,"0,25"
hjärtklappning,Palpitations,Palpitations,"0,30"
svimning,Fainting,Fainting,"0,60"
ont i örat,Earache,Earache,"0,53"
tinnitus,Ringing in the ears,Tinnitus,"0,28"
nedsatt hörsel,Hearing loss,Hearing loss,"0,56"
synförlust,Vision loss,Vision loss,"0,46"
nedsatt känsel,Numbness,Reduced sensation,"0,25"
stickningar,Tingling,Tingling,"0,30"
skakningar,Tremors,Tremors,"0,32"
förvirring,Confusion,Confusion,"0,47"
ångest,Anxiety,Anxiety,"0,48"
depression,Depression,Depression,"0,43"
irritation,Irritation,Irritation,"0,64"
koncentrationssvårigheter,Difficulty concentrating,Difficulty concentrating,"0,30"
minnesproblem,Memory problems,Memory problems,"0,56"
febrig,Febrile,Febrile,"0,52"
kalla händer,Cold hands,Cold hands,"0,63"
MI,Myocardial infarction,Myocardial infarction,"0,64"
MI,Mitral insufficiency,Myocardial Infarction,"0,60"
BP,Bipolar disorder,Hypertension,"0,33"
BP,Blood pressure,Blood pressure,"0,61"
EKG,Eczema,Electrocardiogram,"0,59"
EKG,Electrocardiogram,Electrocardiogram,"0,41"
CRP,C-reactive protein,C-reactive protein,"0,29"
CRP,Chronic regional pain,C-reactive protein,"0,49"
HR,Heart rate,Heart rate,"0,31"
PM,Past medical history,Diabetes,"0,68"
PM,Postmortem,Postmortem,"0,61"
CT,Computed tomography,Computed Tomography,"0,49"
AV,Atrioventricular,Atrioventricular block,"0,64"
NS,Normal saline,Normal saline,"0,41"
AF,Atrial fibrillation,Atrial fibrillation,"0,60"
PE,Pulmonary embolism,Pulmonary embolism,"0,70"
PE,Physical examination,Pulmonary embolism,"0,53"
PR,Pulse rate,Pulse rate,"0,39"
DM,Diabetes mellitus,Diabetes mellitus,"0,71"
DM,Dermatomyositis,Diabetes mellitus,"0,57"
CA,Cancer,Cancer,"0,22"
CA,Cardiac arrest,Cancer,"0,28"
EEG,Electroencephalogram,Electroencephalogram,"0,61"
COPD,Chronic obstructive pulmonary disease,Chronic Obstructive Pulmonary Disease,"0,66"
TIA,Transient ischemic attack,Transient Ischemic Attack,"0,34"
DVT,Deep vein thrombosis,Deep vein thrombosis,"0,51"
ALS,Amyotrophic lateral sclerosis,Amyotrophic Lateral Sclerosis,"0,49"
IBS,Irritable bowel syndrome,Irritable Bowel Syndrome,"0,51"
CNS,Central nervous system,Central Nervous System,"0,29"
BPV,Benign paroxysmal vertigo,Benign paroxysmal vertigo,"0,48"
UTI,Urinary tract infection,Urinary tract infection,"0,59"
hjärtinfrakt,Myocardial infarction,Myocardial infarction,"0,52"
blodtryk,Blood pressure,Blood pressure,"0,30"
febber,Fever,Fever,"0,50"
smäta,Pain,Pain,"1,20"
huvudvärkk,Headache,Headache,"1,05"
andnödd,Shortness of breath,Shortness of breath,"0,71"
ilamående,Nausea,Nausea,"0,32"
yrssel,Dizziness,Dizziness,"0,39"
trötthhet,Fatigue,Fatigue,"0,99"
håsta,Cough,Cough,"0,44"
diaré,Diarrhea,Diarrhea,"0,30"
förstopning,Constipation,Constipation,"0,36"
sömnloshet,Insomnia,Insomnia,"0,34"
aptitloshet,Loss of appetite,Loss of appetite,"0,32"
svetningar,Sweating,Sweating,"0,68"
frozza,Chills,Frozen section,"0,46"
muskelvräk,Muscle pain,Muscle sprain,"0,33"
ledvräk,Joint pain,Joint dislocation,"0,37"
vårdcentral,Primary care center,Primary care center,"0,54"
akutmottagning,Emergency department,Emergency department,"0,57"
